DATE,CPI,M2,UNRATE,DSPI,PCE,FEDFUNDS,INDPRO,M1SL
01-01-1990,132.1,3166.8,5.4,4208.4,3730.7,8.23,61.644,795.4
01-02-1990,132.7,3179.2,5.3,4236.3,3728.2,8.24,62.2108,798.1
01-03-1990,133.5,3190.1,5.2,4254,3754.9,8.28,62.5068,801.5
01-04-1990,134,3201.6,5.4,4290.8,3770,8.26,62.3597,806.1
01-05-1990,134.4,3200.6,5.4,4296,3775.8,8.18,62.5474,804.2
01-06-1990,135.1,3213.7,5.2,4321.9,3804.5,8.29,62.7541,808.8
01-07-1990,135.8,3224.5,5.5,4348.3,3821.7,8.15,62.6497,810.1
01-08-1990,136.6,3242,5.7,4350.4,3848.3,8.13,62.8761,815.7
01-09-1990,137.1,3254.6,5.9,4375.8,3870.1,8.2,62.896,820.2
01-10-1990,137.6,3259.3,5.9,4365.5,3870.6,8.11,62.506,819.9
01-11-1990,138,3262.6,6.2,4373,3871.9,7.81,61.7271,822.1
01-12-1990,138.6,3271.8,6.3,4403.1,3861.3,7.31,61.2939,824.7
01-01-1991,139.5,3287.7,6.4,4408.2,3841,6.91,61.0931,827.2
01-02-1991,140.2,3304.5,6.6,4417.2,3866.7,6.25,60.6522,832.6
01-03-1991,140.5,3321.9,6.8,4425.6,3913,6.12,60.3069,838.7
01-04-1991,140.9,3332.4,6.7,4451.4,3907.1,5.91,60.4658,843.1
01-05-1991,141.3,3343,6.9,4470.7,3933.2,5.78,61.0671,848.8
01-06-1991,141.8,3351.9,6.9,4501.2,3940.5,5.9,61.5611,856.7
01-07-1991,142.3,3356.1,6.8,4499.2,3966,5.82,61.723,861.6
01-08-1991,142.9,3355,6.9,4519.7,3969.1,5.66,61.736,866.8
01-09-1991,143.4,3354.9,6.9,4547.3,3984.7,5.45,62.2464,869.7
01-10-1991,143.7,3360.1,7,4562.2,3976,5.21,62.1825,878
01-11-1991,144.2,3365.5,7,4578.6,4003.6,4.81,62.0983,887.6
01-12-1991,144.7,3372.2,7.3,4630.9,4020.5,4.43,61.8108,897
01-01-1992,145.1,3381.2,7.3,4681.8,4084.7,4.03,61.4898,910.4
01-02-1992,145.4,3400,7.4,4713.9,4099.5,4.06,61.9299,925.2
01-03-1992,145.9,3403.9,7.4,4729.5,4117,3.98,62.449,936.7
01-04-1992,146.3,3399.7,7.4,4755.6,4131.5,3.73,62.9312,943.8
01-05-1992,146.8,3398.6,7.6,4784.1,4158.4,3.82,63.1359,950.6
01-06-1992,147.1,3393.4,7.8,4812.6,4177.1,3.76,63.1736,954.3
01-07-1992,147.6,3393.9,7.7,4824.8,4204.8,3.25,63.7408,963.3
01-08-1992,147.9,3398.8,7.6,4848.2,4220.9,3.3,63.3917,973.7
01-09-1992,148.1,3410.3,7.6,4833.4,4255.3,3.22,63.5927,988
01-10-1992,148.8,3423.8,7.3,4819.2,4284.7,3.1,64.0282,1003.7
01-11-1992,149.2,3426.5,7.4,4836,4300.5,3.09,64.2732,1015.7
01-12-1992,149.6,3424.7,7.4,5017.2,4336.4,2.92,64.3668,1024.9
01-01-1993,150.1,3419.1,7.3,4919.8,4340.7,3.02,64.6256,1030.4
