DATE,Federal Interest rate (%),Real GDP ($ billions),M1V,M2V,Unemployemnet Rate,Inflation (CPI)
01-01-1990,8.28,10047.386,7.356,1.848,5.732765,1.721398305
01-04-1990,8.29,10083.855,7.391,1.859,5.71323061,1.015360583
01-07-1990,8.2,10090.569,7.377,1.856,5.693902493,1.726804124
01-10-1990,7.31,9998.704,7.303,1.839,5.674851418,1.621484672
01-01-1991,6.12,9951.916,7.247,1.826,5.656145573,0.822737472
01-04-1991,5.9,10029.51,7.212,1.833,5.637838,0.59347181
01-07-1991,5.45,10080.195,7.166,1.85,5.619961,0.786627335
01-10-1991,4.43,10115.329,7.058,1.861,5.602534,0.756097561
01-01-1992,3.98,10236.435,6.886,1.874,5.585576534,0.702009199
01-04-1992,3.76,10347.429,6.814,1.905,5.569084,0.817307692
01-07-1992,3.22,10449.673,6.735,1.931,5.553059,0.78683834
01-10-1992,2.92,10558.648,6.584,1.951,5.537511,0.709723208
01-01-1993,3.07,10576.275,6.508,1.971,5.522455,0.845665962
01-04-1993,3.04,10637.847,6.406,1.985,5.50790453,0.768693222
01-07-1993,3.09,10688.606,6.289,1.997,5.493864536,0.392972723
01-10-1993,2.96,10833.987,6.25,2.023,5.480341434,0.690766751
01-01-1994,3.34,10939.116,6.264,2.047,5.467338562,0.640292705
01-04-1994,4.25,11087.361,6.339,2.08,5.454845,0.636219041
01-07-1994,4.73,11152.176,6.369,2.103,5.442838,0.880559946
01-10-1994,5.45,11279.932,6.479,2.139,5.431291,0.470008953
01-01-1995,5.98,11319.951,6.55,2.155,5.420172,0.824237024
01-04-1995,6,11353.721,6.614,2.151,5.409451485,0.883782589
01-07-1995,5.8,11450.31,6.714,2.142,5.399091,0.438020149
01-10-1995,5.6,11528.067,6.86,2.147,5.38905,0.47972089
01-01-1996,5.31,11614.418,7.016,2.147,5.379276,0.911458333
01-04-1996,5.27,11808.14,7.18,2.165,5.369709492,0.989247312
01-07-1996,5.3,11914.063,7.369,2.171,5.360292435,0.532367973
01-10-1996,5.29,12037.775,7.623,2.176,5.350973606,0.720186401
01-01-1997,5.39,12115.472,7.761,2.174,5.341696,0.672975815
01-04-1997,5.56,12317.221,8.002,2.19,5.332409382,0.396908293
01-07-1997,5.54,12471.01,8.102,2.192,5.32308054,0.395339159
01-10-1997,5.5,12577.495,8.196,2.184,5.31369,0.393782383
01-01-1998,5.49,12703.742,8.238,2.17,5.304222,0.268373245
01-04-1998,5.56,12821.339,8.326,2.155,5.294664,0.535309862
01-07-1998,5.51,12982.752,8.469,2.155,5.285001,0.389105058
01-10-1998,4.68,13191.67,8.511,2.14,5.275233,0.346797226
01-01-1999,4.81,13315.597,8.578,2.129,5.265363,0.386257369
01-04-1999,4.76,13426.748,8.647,2.124,5.255394459,0.972053463
01-07-1999,5.22,13604.771,8.82,2.128,5.245333672,0.621740874
01-10-1999,5.3,13827.98,8.902,2.146,5.235184669,0.617899143
01-01-2000,5.85,13878.147,8.989,2.135,5.224948,0.990491284
01-04-2000,6.53,14130.908,9.251,2.151,5.214622,1.059238917
01-07-2000,6.52,14145.312,9.37,2.141,5.204211,0.795807453
01-10-2000,6.4,14229.765,9.546,2.133,5.193731,0.539187368
01-01-2001,5.31,14183.12,9.499,2.085,5.183196545,0.957670944
01-04-2001,3.97,14271.694,9.459,2.059,5.172613621,1.043445267
01-07-2001,3.07,14214.516,9.098,2.014,5.161983,0.131430717
01-10-2001,1.82,14253.574,9.086,1.98,5.151313,-0.281267579
01-01-2002,1.73,14372.785,9.05,1.969,5.140615463,0.357277172
01-04-2002,1.75,14460.848,9.15,1.972,5.129905,1.086752857
01-07-2002,1.75,14519.633,9.199,1.953,5.119209,0.426320667
01-10-2002,1.24,14537.58,9.132,1.927,5.108561516,0.313768918
01-01-2003,1.25,14614.141,9.048,1.915,5.09799,1.011959522
01-04-2003,1.22,14743.567,8.932,1.901,5.087525,0.364298725
01-07-2003,1.01,14988.782,8.941,1.905,5.077202,0.490018149
01-10-2003,0.98,15162.76,9.048,1.94,5.067058563,0.018060321
01-01-2004,1,15248.68,9.042,1.95,5.057126,0.902853016
01-04-2004,1.03,15366.85,9.065,1.94,5.047432423,1.431639227
01-07-2004,1.61,15512.619,9.098,1.949,5.038008,0.352858151
01-10-2004,2.16,15670.88,9.138,1.958,5.028878689,0.597749648
01-01-2005,2.63,15844.727,9.321,1.985,5.020076,0.629150647
01-04-2005,3.04,15922.782,9.445,1.995,5.011637,1.337269885
01-07-2005,3.62,16047.587,9.557,2,5.00365448,1.216795201
01-10-2005,4.16,16136.734,9.686,2.001,4.996716776,0.507958009
01-01-2006,4.59,16353.835,9.852,2.016,4.987016737,0.539083558
01-04-2006,4.99,16396.151,9.957,2.017,4.976734476,1.692359249
01-07-2006,5.25,16420.738,10.126,2.006,4.966011158,0.56022409
01-10-2006,5.24,16561.866,10.254,1.997,4.95504008,-0.85203998
01-01-2007,5.26,16611.69,10.399,1.993,4.94404698,1.019170385
01-04-2007,5.25,16713.314,10.469,1.986,4.933268579,1.917329089
01-07-2007,4.94,16809.587,10.595,1.977,4.922925139,0.275928711
01-10-2007,4.24,16915.191,10.703,1.977,4.913194325,0.711214555
01-01-2008,2.61,16843.003,10.639,1.939,4.904191719,1.136773642
01-04-2008,2,16943.291,10.645,1.927,4.89596057,2.195344656
01-07-2008,1.81,16854.295,10.418,1.908,4.88847076,1.163055346
01-10-2008,0.16,16485.35,9.548,1.813,4.881623295,-2.828529429
01-01-2009,0.18,16298.262,9.155,1.735,4.875261901,-0.497633075
01-04-2009,0.21,16269.145,8.827,1.709,4.869192265,1.060302337
01-07-2009,0.15,16326.281,8.691,1.711,4.86320598,0.679071982
01-10-2009,0.12,16502.754,8.698,1.726,4.857106944,0.201188589
01-01-2010,0.16,16582.71,8.708,1.739,4.850728283,0.401415054
01-04-2010,0.18,16743.162,8.742,1.746,4.843936591,0.475072152
01-07-2010,0.19,16872.266,8.671,1.748,4.836630897,0.093250498
01-10-2010,0.18,16960.864,8.434,1.745,4.828742863,0.294916321
01-01-2011,0.14,16920.632,8.205,1.728,4.820244007,1.264822375
01-04-2011,0.09,17035.114,8.044,1.714,4.811158124,1.743310892
01-07-2011,0.08,17031.313,7.533,1.656,4.801569813,0.408517984
01-10-2011,0.07,17222.583,7.339,1.648,4.791622118,-0.15205577
01-01-2012,0.13,17367.01,7.264,1.642,4.781499529,0.795638656
01-04-2012,0.16,17444.525,7.183,1.631,4.771399521,0.827531738
01-07-2012,0.14,17469.65,6.939,1.612,4.761502715,0.219328148
01-10-2012,0.16,17489.852,6.728,1.586,4.751948857,0.03604047
01-01-2013,0.14,17662.4,6.729,1.583,4.742824857,0.590329876
01-04-2013,0.09,17709.671,6.648,1.574,4.734167218,0.540980612
01-07-2013,0.08,17860.45,6.623,1.573,4.725973252,0.377979341
01-10-2013,0.09,18016.147,6.492,1.565,4.718212293,-0.279067646
01-01-2014,0.08,17953.974,6.314,1.542,4.710835162,0.76122253
01-04-2014,0.1,18185.911,6.272,1.548,4.703780831,1.180867814
01-07-2014,0.09,18406.941,6.277,1.553,4.696979838,0.114675844
01-10-2014,0.12,18500.031,6.165,1.542,4.690356278,-0.803351757
01-01-2015,0.11,18666.621,6.06,1.526,4.683831539,-0.543199002
01-04-2015,0.13,18782.243,6.097,1.528,4.677328466,1.205595644
01-07-2015,0.14,18857.418,6.057,1.52,4.670774594,0.262677374
01-10-2015,0.24,18892.206,6.007,1.502,4.664107354,-0.449843688
